seed,n,graph,reps,mean_gap_pct,std_gap_pct
1,2,path,1000,6.300480033141737e-08,9.840947327860358e-07
1,2,star,1000,5.537645890516239e-07,1.4813762575028843e-05
1,2,complete,1000,1.8257325948441893e-07,2.7005294682636343e-06
1,10,path,1000,0.5771459623299793,0.8716157049115132
1,10,star,1000,1.2530180210137873,2.006837865829295
1,10,complete,1000,1.7649415306668648,1.0522513406135838
1,20,path,1000,0.6281883097802843,0.6030994298919062
1,20,star,1000,1.500646446280073,1.8917996740422327
1,20,complete,1000,2.0937342593357453,0.7461262867579805
1,50,path,1000,0.6090484543779195,0.3447398441689405
1,50,star,1000,1.7763530810737285,2.0459592813940746
1,50,complete,1000,2.329041063015284,0.4550938872730867
